target_id	V3	V4	V5	V6	V7	V8	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	log2FC	TPMa	TPMb	ensembl_id	gene_name	biotype	description2
924	ENSG00000170430.10	MGMT	MGMT-201	10	129467190	129767519	+	1	4.33433427876416	2.34665668288037e-06	0.00010523224794447	5.19381648328924	0.568369138039633	26.515544930873	ENSG00000170430	MGMT	protein_coding	O-6-methylguanine-DNA methyltransferase 
925	ENSG00000172020.13	GAP43	GAP43-201	3	115623510	115721483	+	1	4.00005937111196	2.42833506859524e-06	0.000107956240937462	8.03617837975511	0.140127329199203	38.5685821711042	ENSG00000172020	GAP43	protein_coding	growth associated protein 43 
926	ENSG00000083857.15	FAT1	FAT1-201	4	186587794	186723856	-	1	5.65800946907633	2.41992792994007e-06	0.000107956240937462	-2.95627273700542	8.75763122367623	1.33102304051658	ENSG00000083857	FAT1	protein_coding	FAT atypical cadherin 1 
927	ENSG00000172985.11	SH3RF3	SH3RF3-201	2	109129205	109504634	+	1	4.8437147121436	2.46388120710864e-06	0.000109066398155015	4.32980689432897	0.31117186201284	5.43711812331169	ENSG00000172985	SH3RF3	protein_coding	SH3 domain containing ring finger 3 
946	ENSG00000164142.16	FHIP1A	FHIP1A-201	4	151409176	151670503	+	1	3.73371113171252	2.7798234750958e-06	0.000119962758670034	9.80623108078807	0.0111682151760846	9.96011305296592	ENSG00000164142	FHIP1A	protein_coding	FHF complex subunit HOOK interacting protein 1A 
947	ENSG00000166750.10	SLFN5	SLFN5-201	17	 35243072	 35273655	+	2	12.5689114225031	2.82692855846155e-06	0.000121487254799885	-1.14425420473003	23.2504871111801	12.3990750588053	ENSG00000166750	SLFN5	protein_coding	schlafen family member 5 
949	ENSG00000273540.5	AGBL1	AGBL1-202	15	 87038717	 87047303	+	2	4.62620652220804	2.85389132530111e-06	0.000122137075224712	8.03188890847846	0.0251956186933004	10.2958129539173	ENSG00000273540	AGBL1	protein_coding	AGBL carboxypeptidase 1 
953	ENSG00000113657.13	DPYSL3	DPYSL3-201	5	147390808	147510068	-	1	6.50582072361222	3.09634522993857e-06	0.000131422653092948	2.01697278039314	4.79682785645485	21.585853408309	ENSG00000113657	DPYSL3	protein_coding	dihydropyrimidinase like 3 
960	ENSG00000143013.13	LMO4	LMO4-201	1	 87331668	 87345408	+	3	16.1719007234448	3.29415154679522e-06	0.00013867705736182	-1.13890354620283	74.3591631622711	36.3917472143855	ENSG00000143013	LMO4	protein_coding	LIM domain only 4 
963	ENSG00000136156.15	ITM2B	ITM2B-201	13	 48233203	 48261388	+	4	9.03920684057513	3.37104241689263e-06	0.00014133711986923	-2.78534073805326	20.9333047841886	2.31407383454272	ENSG00000136156	ITM2B	protein_coding	integral membrane protein 2B 
971	ENSG00000100721.11	TCL1A	TCL1A-201	14	 95709947	 95714125	-	2	3.64834646977582	3.45838309371115e-06	0.000143829690437648	-4.81134020892317	12.7438202716425	0	ENSG00000100721	TCL1A	protein_coding	TCL1 family AKT coactivator A 
974	ENSG00000153093.20	ACOXL	ACOXL-202	2	110732573	111094344	+	3	7.26158614274447	3.52471328279326e-06	0.00014599956947281	4.75663272319121	0.753122722716444	16.3496128325105	ENSG00000153093	ACOXL	protein_coding	acyl-CoA oxidase like 
990	ENSG00000119042.18	SATB2	SATB2-202	2	199269505	199457939	-	3	9.86355912316053	3.84767688524126e-06	0.00015685746796197	4.16947712915436	0.701733175559094	13.3010607136065	ENSG00000119042	SATB2	protein_coding	SATB homeobox 2 
997	ENSG00000250742.6	LINC02381	LINC02381-201	12	 54126098	 54132843	+	1	6.51350024876882	4.00267299990933e-06	0.00016126394266041	1.60710721589176	19.8671667503636	62.8278193961839	ENSG00000250742	LINC02381	lncRNA	long intergenic non-protein coding RNA 2381 
998	ENSG00000261371.6	PECAM1	PECAM1-203	17	 64319415	 64390860	-	2	8.12879806802239	3.9954288019897e-06	0.00016126394266041	-3.43049247239709	21.1632565097559	2.48292592350423	ENSG00000261371	PECAM1	protein_coding	platelet and endothelial cell adhesion molecule 1 
1000	ENSG00000137177.20	KIF13A	KIF13A-201	6	 17763693	 17987635	-	3	16.1471644691477	4.02412489041031e-06	0.000161497370115533	1.28425199536783	9.29492002337257	21.2748111323134	ENSG00000137177	KIF13A	protein_coding	kinesin family member 13A 
1003	ENSG00000248685.6	LINC02484	LINC02484-201	4	 34120090	 34269738	-	2	3.73544238198319	4.24255895692935e-06	0.000169603694115385	9.09251672205504	0	8.99762225724766	ENSG00000248685	LINC02484	lncRNA	long intergenic non-protein coding RNA 2484 
1011	ENSG00000278932.6			21	  9325024	  9327299	+	6	19.0253412461763	4.28664724255784e-06	0.000170047998691314	1.92571475703815	20.2978111442377	79.2842012187103	ENSG00000278932		lncRNA	novel transcript
1017	ENSG00000088387.22	DOCK9	DOCK9-204	13	 98793487	 98831793	-	2	5.80553781009972	4.31157968641494e-06	0.00017038173519419	-4.08123597654256	16.4161063094805	1.02484805661358	ENSG00000088387	DOCK9	protein_coding	dedicator of cytokinesis 9 
1019	ENSG00000025039.15	RRAGD	RRAGD-202	6	 89364616	 89412273	-	2	10.0124931821098	4.42149771098075e-06	0.000174058501492578	-3.43112753989539	36.1650091615659	3.49144080454176	ENSG00000025039	RRAGD	protein_coding	Ras related GTP binding D 
1021	ENSG00000242265.6	PEG10	PEG10-202	7	 94656325	 94669695	+	3	20.9708832150024	4.45573464221705e-06	0.000174739342584892	1.10754226001692	39.9595313024527	85.5489781277794	ENSG00000242265	PEG10	protein_coding	paternally expressed 10 
1026	ENSG00000117020.19	AKT3	AKT3-203	1	243501796	243850070	-	2	5.15717268293461	4.7253655997444e-06	0.000183914795455712	4.35412044979757	0.530384561124609	11.8157966149224	ENSG00000117020	AKT3	protein_coding	AKT serine/threonine kinase 3 
1029	ENSG00000154016.14	GRAP	GRAP-201	17	 19020656	 19046957	-	2	8.62390794921095	4.91513689940029e-06	0.000189587120475368	-1.86465734063862	47.8574785071255	14.2673180425754	ENSG00000154016	GRAP	protein_coding	GRB2 related adaptor protein 
1031	ENSG00000163347.6	CLDN1	CLDN1-201	3	190305707	190322446	-	1	3.51955503805158	4.92099102817317e-06	0.000189587120475368	9.93235869661391	0.0170556251331105	17.5740178214001	ENSG00000163347	CLDN1	protein_coding	claudin 1 
1032	ENSG00000109436.8	TBC1D9	TBC1D9-201	4	140620782	140756385	-	1	6.70006312868984	4.92625056112066e-06	0.000189587120475368	-1.1639111280697	13.714419995094	6.16246876490546	ENSG00000109436	TBC1D9	protein_coding	TBC1 domain family member 9 
1033	ENSG00000226779.1	NAALADL2-AS2	NAALADL2-AS2-201	3	175234861	175271096	-	1	6.91804640897516	5.02632214916366e-06	0.000192719281213658	-1.60221988809415	122.106157638128	39.8681568727066	ENSG00000226779	NAALADL2-AS2	lncRNA	NAALADL2 antisense RNA 2 
1034	ENSG00000213190.4	MLLT11	MLLT11-201	1	151060397	151069544	+	1	6.10856195061186	5.05175374620403e-06	0.000192976993104994	2.40077942452074	5.43684736715377	25.6981921362914	ENSG00000213190	MLLT11	protein_coding	MLLT11 transcription factor 7 cofactor 
1035	ENSG00000099282.10	TSPAN15	TSPAN15-201	10	 69451465	 69507666	+	1	5.36148512256918	5.07922188057749e-06	0.000193310311720577	3.85029023495303	2.50217087474168	36.4168123634246	ENSG00000099282	TSPAN15	protein_coding	tetraspanin 15 
1036	ENSG00000198934.5	MAGEE1	MAGEE1-201	X	 76427710	 76431342	+	1	4.29359015443372	5.14326452849952e-06	0.000195028052746118	4.4304502879925	0.290378254174922	5.93801369542132	ENSG00000198934	MAGEE1	protein_coding	MAGE family member E1 
1037	ENSG00000269416.7	LINC01224	LINC01224-203	19	 23399470	 23408091	-	2	4.29088004526093	5.27217390071302e-06	0.000199183888688476	6.59828993369242	0.206589538430464	11.0120784812198	ENSG00000269416	LINC01224	lncRNA	long intergenic non-protein coding RNA 1224 
1039	ENSG00000060982.15	BCAT1	BCAT1-201	12	 24810024	 24949101	-	3	16.4442011997317	5.32049502855671e-06	0.000199547584452851	1.00332766232876	24.7955942216313	59.6646736279273	ENSG00000060982	BCAT1	protein_coding	branched chain amino acid transaminase 1 
1042	ENSG00000008086.13	CDKL5	CDKL5-205	X	 18425608	 18640196	+	1	5.66967324705426	5.32032176090129e-06	0.000199547584452851	1.3021422241515	1.4744701961758	3.35733035341349	ENSG00000008086	CDKL5	protein_coding	cyclin dependent kinase like 5 
1046	ENSG00000135549.16	PKIB	PKIB-202	6	122717561	122725892	+	2	5.03696562998742	5.56330694018825e-06	0.000207147825924554	3.49255403712131	2.65042681198083	30.3858022640966	ENSG00000135549	PKIB	protein_coding	cAMP-dependent protein kinase inhibitor beta 
1048	ENSG00000111335.14	OAS2	OAS2-201	12	112978395	113011723	+	6	28.7089240686341	5.72878473469848e-06	0.00021254203508518	-1.79864386794016	102.550071185634	27.3418534311341	ENSG00000111335	OAS2	protein_coding	2'-5'-oligoadenylate synthetase 2 
1054	ENSG00000291032.1			Y	 11161838	 11215032	-	2	7.41744055142493	5.82204260294453e-06	0.000215227768483046	2.00292253337873	5.4252787793204	22.7044718712727	ENSG00000291032		lncRNA	novel transcript
1056	ENSG00000125845.7	BMP2	BMP2-201	20	  6767686	  6780246	+	1	4.89473393872914	6.05471868109082e-06	0.000223029887417038	2.85926401847719	0.850483966134737	6.31735875237628	ENSG00000125845	BMP2	protein_coding	bone morphogenetic protein 2 
1060	ENSG00000100285.10	NEFH	NEFH-201	22	 29480218	 29491390	+	1	5.43856539175131	6.44126745436234e-06	0.00023558593093721	-2.31944797306019	8.62690426367599	1.72935946023448	ENSG00000100285	NEFH	protein_coding	neurofilament heavy chain 
1061	ENSG00000154342.6	WNT3A	WNT3A-201	1	228006998	228061271	+	1	4.89301864448188	6.53820248260352e-06	0.000238286291185769	3.91815091739402	0.698466748426561	10.6517974774642	ENSG00000154342	WNT3A	protein_coding	Wnt family member 3A 
1062	ENSG00000115183.15	TANC1	TANC1-201	2	158968640	159232659	+	1	3.98864732788185	6.61663757819873e-06	0.000240295774582893	7.66003123488897	0.0400665804310815	8.90536531960245	ENSG00000115183	TANC1	protein_coding	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 
1063	ENSG00000119514.7	GALNT12	GALNT12-201	9	 98807670	 98850081	+	1	5.03609316944738	6.74386318014446e-06	0.000244056859087754	2.58473071436975	2.06432516357318	13.1418882095492	ENSG00000119514	GALNT12	protein_coding	polypeptide N-acetylgalactosaminyltransferase 12 
1067	ENSG00000273639.6			14	 19499737	 19677836	+	2	3.32263140212882	6.92530485744382e-06	0.000248876635190507	9.38263508952355	0	15.8286394543158	ENSG00000273639		lncRNA	novel transcript
1069	ENSG00000182866.18	LCK	LCK-202	1	 32251265	 32286165	+	1	2.91494227074018	7.05685771249748e-06	0.000252723716828816	-5.07396492705117	22.9883794145729	0.65394563779765	ENSG00000182866	LCK	protein_coding	LCK proto-oncogene, Src family tyrosine kinase 
1070	ENSG00000185436.12	IFNLR1	IFNLR1-201	1	 24154168	 24187289	-	1	5.18933379792787	7.12759893595741e-06	0.00025437389420576	-3.00300053160149	9.79542914500025	1.35707287088995	ENSG00000185436	IFNLR1	protein_coding	interferon lambda receptor 1 
1083	ENSG00000179455.10	MKRN3	MKRN3-201	15	 23565674	 23568044	+	2	5.84098301391796	7.21800053338182e-06	0.000255757476391386	5.68357501485994	0.255566321794878	16.8880022858409	ENSG00000179455	MKRN3	protein_coding	makorin ring finger protein 3 
1085	ENSG00000213967.12	ZNF726	ZNF726-202	19	 23914876	 23923893	+	2	6.79980138105478	7.24075849391941e-06	0.000255757476391386	3.58696632653185	1.33329026771666	19.8133896111991	ENSG00000213967	ZNF726	protein_coding	zinc finger protein 726 
1087	ENSG00000132846.6	ZBED3	ZBED3-201	5	 77072072	 77087285	-	1	5.75392430476466	7.43093924182513e-06	0.000261579205939196	1.33113028576907	2.37698985293512	6.81250095439336	ENSG00000132846	ZBED3	protein_coding	zinc finger BED-type containing 3 
1088	ENSG00000163661.4	PTX3	PTX3-201	3	157436850	157443633	+	1	4.42351250768368	7.66601909762066e-06	0.00026893646589408	5.01631990587242	0.653688376879839	18.0695338896649	ENSG00000163661	PTX3	protein_coding	pentraxin 3 
1089	ENSG00000099204.21	ABLIM1	ABLIM1-203	10	114431113	114526931	-	1	6.34576392613876	7.7185264206682e-06	0.000269860615263633	1.54452354352617	4.03525750616269	12.5349762577845	ENSG00000099204	ABLIM1	protein_coding	actin binding LIM protein 1 
1093	ENSG00000104833.12	TUBB4A	TUBB4A-201	19	  6494319	  6502309	-	1	5.3357157201109	7.77381875236509e-06	0.00026996352394577	2.60731846508674	3.61133246943338	18.716329611418	ENSG00000104833	TUBB4A	protein_coding	tubulin beta 4A class IVa 
1094	ENSG00000000938.13	FGR	FGR-201	1	 27612669	 27626569	-	5	24.0650309314627	7.87032444643668e-06	0.000272397739397812	-1.48435050080833	80.7328579063527	29.7781709909989	ENSG00000000938	FGR	protein_coding	FGR proto-oncogene, Src family tyrosine kinase 
1104	ENSG00000143061.18	IGSF3	IGSF3-201	1	116577220	116666431	-	2	8.61346980061233	8.10240322777665e-06	0.000278560622970961	3.32599474539063	1.33615196110027	15.7207250506273	ENSG00000143061	IGSF3	protein_coding	immunoglobulin superfamily member 3 
1106	ENSG00000256229.8	ZNF486	ZNF486-201	19	 20167214	 20200488	+	1	4.53209077437769	8.18224964414296e-06	0.000280371172191663	4.66946713494985	0.367111427661429	8.78435323891118	ENSG00000256229	ZNF486	protein_coding	zinc finger protein 486 
1107	ENSG00000163508.13	EOMES	EOMES-201	3	 27715949	 27722498	-	3	15.6587970090859	8.23828507138364e-06	0.000280427961142742	-1.31108723187971	53.7028854959101	21.392661309889	ENSG00000163508	EOMES	protein_coding	eomesodermin 
1110	ENSG00000278704.1			GL000009.2	    56140	    58376	-	1	4.1552499397483	8.22589418511304e-06	0.000280427961142742	4.61649860481412	0.405946904554667	9.05320332891483	ENSG00000278704		protein_coding	NA
1111	ENSG00000064886.14	CHI3L2	CHI3L2-203	1	111200771	111243439	+	2	7.04014107363357	8.27240844256008e-06	0.000280663225909752	-2.83159045007388	16.6167962721801	2.13477160853379	ENSG00000064886	CHI3L2	protein_coding	chitinase 3 like 2 
1113	ENSG00000239887.6	C1orf226	C1orf226-202	1	162381728	162386812	+	1	3.40105813162261	8.37730358261304e-06	0.000283290193937937	9.72564781735954	0.0156889263437775	13.3069996782888	ENSG00000239887	C1orf226	protein_coding	chromosome 1 open reading frame 226 
1114	ENSG00000134250.21	NOTCH2	NOTCH2-201	1	119911553	120069662	-	1	5.7730559682562	8.41807476551125e-06	0.000283738637684585	2.32240585898287	0.955939960528061	5.8017740558361	ENSG00000134250	NOTCH2	protein_coding	notch receptor 2 
1115	ENSG00000138698.15	RAP1GDS1	RAP1GDS1-202	4	 98261518	 98442334	+	3	15.8193370026147	8.48994731227478e-06	0.000285229044230626	1.16550100104165	13.5815707649211	32.7120082407697	ENSG00000138698	RAP1GDS1	protein_coding	Rap1 GTPase-GDP dissociation stimulator 1 
1120	ENSG00000181104.7	F2R	F2R-201	5	 76716126	 76735770	+	1	6.42620888062834	9.01405105843736e-06	0.000300876772222404	1.34648316003411	6.66889256777157	20.3974450420499	ENSG00000181104	F2R	protein_coding	coagulation factor II thrombin receptor 
1121	ENSG00000159958.7	TNFRSF13C	TNFRSF13C-201	22	 41922032	 41926806	-	1	6.67632724577542	9.28510747111697e-06	0.000308864968593816	-1.1644246672024	18.0734792573657	8.72173556816785	ENSG00000159958	TNFRSF13C	protein_coding	TNF receptor superfamily member 13C 
1122	ENSG00000111962.8	UST	UST-201	6	148747030	149076990	+	1	6.88712574195092	9.3132640326427e-06	0.000308864968593816	-1.55899115235035	24.8828133194703	8.31670441652022	ENSG00000111962	UST	protein_coding	uronyl 2-sulfotransferase 
1128	ENSG00000155093.19	PTPRN2	PTPRN2-205	7	157539056	158587788	-	1	2.93779417807002	9.69130330599074e-06	0.000319348569642136	9.28418328081823	0.0137108450021388	10.6357136958532	ENSG00000155093	PTPRN2	protein_coding	protein tyrosine phosphatase receptor type N2 
1133	ENSG00000158457.6	TSPAN33	TSPAN33-201	7	129144707	129169699	+	2	12.7855201957415	9.95622447208449e-06	0.000325995235571681	1.29247764847435	26.3966128420214	70.0754890671629	ENSG00000158457	TSPAN33	protein_coding	tetraspanin 33 
1135	ENSG00000134775.16	FHOD3	FHOD3-201	18	 36297714	 36780055	+	2	8.76079072333617	1.00612852265816e-05	0.000328095994749737	3.54754390196965	1.79887069692692	22.0201080544849	ENSG00000134775	FHOD3	protein_coding	formin homology 2 domain containing 3 
1137	ENSG00000039560.14	RAI14	RAI14-201	5	 34656328	 34832612	+	1	3.87944768083279	1.00840052681468e-05	0.000328095994749737	8.25299984638171	0.0514951670228145	14.5216094722706	ENSG00000039560	RAI14	protein_coding	retinoic acid induced 14 
1145	ENSG00000164096.13	C4orf3	C4orf3-202	4	119296419	119300645	-	1	6.37254153668597	1.03310061478782e-05	0.000334025070248326	-1.21171291746809	23.2864219107787	9.66337486835121	ENSG00000164096	C4orf3	protein_coding	chromosome 4 open reading frame 3 
1148	ENSG00000127561.16	SYNGR3	SYNGR3-201	16	  1989970	  1994275	+	2	7.50851991048665	1.06629075902883e-05	0.000342769810541431	2.92567307695783	1.37685452526181	11.4007448992683	ENSG00000127561	SYNGR3	protein_coding	synaptogyrin 3 
1151	ENSG00000143674.11	MAP3K21	MAP3K21-201	1	233375783	233385147	+	2	8.88021616503499	1.08708232132789e-05	0.000347125915237641	1.77065501500814	2.6362169352116	9.00354172118593	ENSG00000143674	MAP3K21	protein_coding	mitogen-activated protein kinase kinase kinase 21 
1153	ENSG00000171132.14	PRKCE	PRKCE-201	2	 45651675	 46187990	+	2	7.95059687910623	1.10152282852393e-05	0.000350651433746783	-2.01009486409252	7.86919722608845	2.17576582907619	ENSG00000171132	PRKCE	protein_coding	protein kinase C epsilon 
1155	ENSG00000183624.14	HMCES	HMCES-201	3	129278870	129306186	+	6	21.8569201929248	1.12529351823449e-05	0.00035711622606371	-2.30851515377017	68.0170163963129	13.3176114306814	ENSG00000183624	HMCES	protein_coding	5-hydroxymethylcytosine binding, ES cell specific 
1161	ENSG00000117143.14	UAP1	UAP1-202	1	162561722	162601240	+	1	7.08668637209674	1.13288804827506e-05	0.000358052975175544	1.40149518981531	23.395331592122	55.2291949887358	ENSG00000117143	UAP1	protein_coding	UDP-N-acetylglucosamine pyrophosphorylase 1 
1162	ENSG00000171714.13	ANO5	ANO5-201	11	 22193085	 22283357	+	2	9.01208166570525	1.13518831571071e-05	0.000358052975175544	1.73719205696805	7.07894956529486	25.0846609952072	ENSG00000171714	ANO5	protein_coding	anoctamin 5 
1164	ENSG00000115902.11	SLC1A4	SLC1A4-201	2	 64989399	 65023865	+	1	6.8955188018628	1.1431710180733e-05	0.000359471520744148	-1.55197336335522	30.2700510132037	9.72155781350701	ENSG00000115902	SLC1A4	protein_coding	solute carrier family 1 member 4 
1167	ENSG00000213949.10	ITGA1	ITGA1-208	5	 52787936	 52956483	+	1	4.0657823941092	1.17202921786468e-05	0.000366312404638068	6.62496900263283	0.0763737816856565	12.7527184774923	ENSG00000213949	ITGA1	protein_coding	integrin subunit alpha 1 
1168	ENSG00000260073.2			16	 35192687	 35195661	-	1	2.78714997508277	1.18560833288209e-05	0.000369436989285374	11.4922200162372	0	11.5534059642247	ENSG00000260073		lncRNA	novel transcript
1169	ENSG00000197124.12	ZNF682	ZNF682-203	19	 20004418	 20039505	-	2	3.54593458626177	1.23006336465157e-05	0.000382134745271575	6.39414522399273	0.217062583913283	16.4017027339592	ENSG00000197124	ZNF682	protein_coding	zinc finger protein 682 
1171	ENSG00000100852.14	ARHGAP5	ARHGAP5-202	14	 32077304	 32159728	+	4	21.218035492105	1.25061581178954e-05	0.000386193158167585	-1.15450293655489	27.5056671576292	13.5766616718421	ENSG00000100852	ARHGAP5	protein_coding	Rho GTPase activating protein 5 
1188	ENSG00000157657.15	ZNF618	ZNF618-201	9	113876282	114056591	+	2	6.19537735261724	1.2616083085386e-05	0.000387268693281759	5.56618141580561	0.160774811854933	6.25785379545772	ENSG00000157657	ZNF618	protein_coding	zinc finger protein 618 
1190	ENSG00000135638.14	EMX1	EMX1-201	2	 72917519	 72934891	+	3	9.84370000537585	1.28067981082652e-05	0.000391956426375807	2.24640592283244	3.53389810037757	16.7611607106557	ENSG00000135638	EMX1	protein_coding	empty spiracles homeobox 1 
1193	ENSG00000170627.11	GTSF1	GTSF1-201	12	 54455957	 54473602	-	1	3.55274100094622	1.32058098978507e-05	0.000402972554101871	8.10930159059712	0.266312395440026	80.4888850684432	ENSG00000170627	GTSF1	protein_coding	gametocyte specific factor 1 
1194	ENSG00000115415.21	STAT1	STAT1-201	2	190969149	191014171	-	10	54.9109048139228	1.35231876299564e-05	0.000411439991785754	-1.05533160306232	257.096252643069	108.973277264742	ENSG00000115415	STAT1	protein_coding	signal transducer and activator of transcription 1 
1204	ENSG00000184368.16	MAP7D2	MAP7D2-201	X	 20006713	 20116907	-	2	8.24446278385866	1.36209938366204e-05	0.000413196854208539	3.13840694534361	2.4541385614237	21.5545102726111	ENSG00000184368	MAP7D2	protein_coding	MAP7 domain containing 2 
1209	ENSG00000135842.17	NIBAN1	NIBAN1-201	1	184791032	184974508	-	1	7.39640557533982	1.38503290779143e-05	0.0004164789915732	2.37163851605128	6.58503956694798	40.4067606180098	ENSG00000135842	NIBAN1	protein_coding	niban apoptosis regulator 1 
1210	ENSG00000254706.3			1	162366908	162383377	+	2	3.06054282454587	1.38152141842876e-05	0.0004164789915732	8.24105923267697	0	13.2564166329212	ENSG00000254706		protein_coding	novel protein
1216	ENSG00000155307.19	SAMSN1	SAMSN1-204	21	 14485228	 14546315	-	1	4.94878566616955	1.40795164135007e-05	0.000420441235824007	-2.67864382874624	14.5193119895852	1.91377430872108	ENSG00000155307	SAMSN1	protein_coding	SAM domain, SH3 domain and nuclear localization signals 1 
1221	ENSG00000169083.18	AR	AR-201	X	 67544021	 67730619	+	1	2.74138530453866	1.4313275522685e-05	0.000425438396948049	10.4579460434938	0	4.01436525260463	ENSG00000169083	AR	protein_coding	androgen receptor 
1223	ENSG00000079950.14	STX7	STX7-201	6	132461714	132513198	-	3	14.5475861651896	1.45040661344386e-05	0.00042917198254376	-1.07126700174078	58.9297993537898	24.7452075511319	ENSG00000079950	STX7	protein_coding	syntaxin 7 
1228	ENSG00000114423.23	CBLB	CBLB-201	3	105655461	105869012	-	4	16.8820960798737	1.49351042364292e-05	0.000438862293716613	-2.17007397489097	42.9555626388632	10.6278759868575	ENSG00000114423	CBLB	protein_coding	Cbl proto-oncogene B 
1232	ENSG00000166833.23	NAV2	NAV2-202	11	 19350724	 20121598	+	1	5.60450475969161	1.5015724743041e-05	0.000439977798294674	2.87571557814026	1.35242885807784	8.39483620286732	ENSG00000166833	NAV2	protein_coding	neuron navigator 2 
1233	ENSG00000152056.18	AP1S3	AP1S3-203	2	223755326	223837582	-	1	5.8003067912112	1.54322826637545e-05	0.000450902445875252	1.7232354458764	3.89606211235731	13.5157226230853	ENSG00000152056	AP1S3	protein_coding	adaptor related protein complex 1 subunit sigma 3 
1234	ENSG00000273604.2	EPOP	EPOP-201	17	 38671703	 38674957	-	1	7.08522545216087	1.55338046305847e-05	0.000452586612880933	1.13963799769499	15.1212970973349	33.6788748104662	ENSG00000273604	EPOP	protein_coding	elongin BC and polycomb repressive complex 2 associated protein 
1235	ENSG00000205269.6	TMEM170B	TMEM170B-201	6	 11537749	 11583524	+	1	6.71895411349475	1.5979830428905e-05	0.000464270340968243	1.37103621050585	3.4421293481948	9.34210542421756	ENSG00000205269	TMEM170B	protein_coding	transmembrane protein 170B 
1236	ENSG00000152061.24	RABGAP1L	RABGAP1L-201	1	174159517	174958182	+	4	18.1460155719913	1.6053124011334e-05	0.000465089665878929	-1.44984514783102	42.0023706275261	14.9560471680728	ENSG00000152061	RABGAP1L	protein_coding	RAB GTPase activating protein 1 like 
1240	ENSG00000080493.19	SLC4A4	SLC4A4-201	4	 71187259	 71572083	+	1	2.72135692248701	1.63853397797735e-05	0.000473384858511438	-3.20534170983448	4.99497900955205	0.50136347408295	ENSG00000080493	SLC4A4	protein_coding	solute carrier family 4 member 4 
1241	ENSG00000054598.9	FOXC1	FOXC1-201	6	  1609915	  1613897	+	1	6.01216962465147	1.66251109472496e-05	0.00047897037516741	1.72301605847039	3.33350193293613	12.863071343403	ENSG00000054598	FOXC1	protein_coding	forkhead box C1 
1249	ENSG00000110400.11	NECTIN1	NECTIN1-201	11	119660992	119729200	-	2	11.3069113751324	1.76299212502481e-05	0.000503698082479388	1.03927624617354	15.5901774335879	30.8691035834209	ENSG00000110400	NECTIN1	protein_coding	nectin cell adhesion molecule 1 
1251	ENSG00000197892.13	KIF13B	KIF13B-206	8	 29067278	 29263070	-	1	5.86653857991018	1.78329817994634e-05	0.000508092194142722	-2.79983553944415	7.9328078985618	1.29478816831178	ENSG00000197892	KIF13B	protein_coding	kinesin family member 13B 
1255	ENSG00000249568.1			4	161378953	161388417	+	1	4.68533350952762	1.81857525053293e-05	0.000515296294890018	2.63734121363958	1.03712317398279	6.60415270940465	ENSG00000249568		lncRNA	novel transcript
1256	ENSG00000088854.13	DNAAF9	DNAAF9-201	20	  3249306	  3407669	-	1	4.85668161000784	1.83567741209099e-05	0.000518717173378259	-2.14765492188692	2.48460619808345	0.570821887172034	ENSG00000088854	DNAAF9	protein_coding	dynein axonemal assembly factor 9 
1257	ENSG00000154655.16	L3MBTL4	L3MBTL4-201	18	  5954717	  6414911	-	1	2.67248131221715	1.87314485486905e-05	0.00052785836156064	7.66014712358738	0.0607058301325705	11.5938417253162	ENSG00000154655	L3MBTL4	protein_coding	L3MBTL histone methyl-lysine binding protein 4 
1258	ENSG00000119125.17	GDA	GDA-202	9	 72149440	 72252224	+	1	3.80362011121692	1.88453116543528e-05	0.000529620011997261	-3.21910178844303	5.09182172478022	0.702204691041113	ENSG00000119125	GDA	protein_coding	guanine deaminase 
1264	ENSG00000217555.13	CKLF	CKLF-201	16	 66552576	 66566068	+	2	5.20618022547376	1.96967495281976e-05	0.000549060201713053	-4.02639721017659	46.4654387646015	2.50193802929811	ENSG00000217555	CKLF	protein_coding	chemokine like factor 
1266	ENSG00000010610.10	CD4	CD4-201	12	  6789528	  6820799	+	1	4.20874669462497	1.98085530842246e-05	0.00054920810889971	3.99505361988408	0.498937157783245	8.84192793408872	ENSG00000010610	CD4	protein_coding	CD4 molecule 
1267	ENSG00000278384.1			GL000218.1	    51867	    54893	-	1	5.54378363245166	1.97975823993276e-05	0.00054920810889971	1.55871623384788	3.3498450125725	9.36710203859075	ENSG00000278384		protein_coding	NA
1273	ENSG00000115107.20	STEAP3	STEAP3-201	2	119223831	119265652	+	3	15.9353405994732	2.01612443794847e-05	0.000555997525481298	1.02929283089682	10.2725381971282	21.0638272369962	ENSG00000115107	STEAP3	protein_coding	STEAP3 metalloreductase 
1276	ENSG00000151136.15	ABTB3	ABTB3-201	12	107318434	107659642	+	1	2.65485844859638	2.0220558909991e-05	0.000556146252260394	11.2156779173014	0	5.18140520594582	ENSG00000151136	ABTB3	protein_coding	ankyrin repeat and BTB domain containing 3 
1277	ENSG00000182389.20	CACNB4	CACNB4-210	2	151832771	152099044	-	1	2.66190653780579	2.05270832545924e-05	0.000563075363531558	-4.29473450366869	11.303055971732	0.477023229702662	ENSG00000182389	CACNB4	protein_coding	calcium voltage-gated channel auxiliary subunit beta 4 
1278	ENSG00000171444.19	MCC	MCC-201	5	113022106	113294938	-	1	6.88365806619199	2.07140561394785e-05	0.000566697015975017	1.14268217981405	5.57761836609999	13.1103549491176	ENSG00000171444	MCC	protein_coding	MCC regulator of WNT signaling pathway 
