# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-B" "-C" "-F" "SAF" "-a" "purple.AM.union.saf" "-o" "counts_featureCounts.txt" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_1/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_2/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_3/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_1/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_2/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_3/human.30_120.bam" 
Geneid	Chr	Start	End	Strand	Length	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_1/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_2/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_3/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_1/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_2/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_3/human.30_120.bam
peak_1158	chr1	204842898	204843209	.	312	144	218	242	248	264	176
peak_1159	chr1	204850303	204850760	.	458	94	254	276	308	324	226
peak_1160	chr1	204867226	204867967	.	742	460	662	734	626	852	592
peak_1161	chr1	204947248	204948374	.	1127	562	820	922	574	712	394
peak_1162	chr1	204988984	204989520	.	537	260	406	454	356	434	320
peak_1163	chr1	205047020	205048272	.	1253	714	1106	1116	574	606	412
peak_1164	chr1	205258039	205258635	.	597	508	970	922	666	998	640
peak_1165	chr1	205258764	205259762	.	999	544	786	778	734	848	528
peak_1166	chr1	205273377	205274844	.	1468	888	1722	1676	812	1268	790
peak_1167	chr1	205324756	205325291	.	536	490	832	754	650	738	518
peak_1168	chr1	205329834	205331002	.	1169	572	1094	1084	894	1070	660
peak_1169	chr1	205348356	205349409	.	1054	704	1110	1194	1016	1226	926
peak_1170	chr1	205351931	205352997	.	1067	752	1178	1238	622	606	456
peak_1171	chr1	205447732	205448421	.	690	430	930	898	550	672	484
peak_1172	chr1	205449094	205449408	.	315	196	450	374	234	242	210
peak_1173	chr1	205493212	205494049	.	838	334	668	766	248	380	280
peak_1174	chr1	205524035	205524569	.	535	298	574	500	364	510	318
peak_1175	chr1	205976793	205977231	.	439	396	708	662	692	926	602
peak_1176	chr1	205982925	205984459	.	1535	722	1304	1516	1072	1264	848
peak_1177	chr1	205986003	205986658	.	656	424	694	732	448	574	412
peak_1178	chr1	206498359	206499183	.	825	558	872	836	696	724	522
peak_1179	chr1	206548247	206548644	.	398	106	154	210	230	196	140
peak_1180	chr1	206563811	206564338	.	528	204	292	306	324	388	254
peak_1181	chr1	206634246	206634567	.	322	246	308	330	350	450	280
peak_1182	chr1	206744797	206745464	.	668	382	430	556	270	218	192
peak_1183	chr1	206787899	206788328	.	430	116	254	324	340	470	328
peak_1184	chr1	206797774	206798332	.	559	200	194	238	326	426	294
peak_1185	chr1	206905165	206905765	.	601	406	852	778	564	908	582
peak_1186	chr1	206914940	206915727	.	788	400	730	738	648	724	486
peak_1187	chr1	206924639	206925705	.	1067	420	682	776	662	632	532
peak_1188	chr1	206952262	206952530	.	269	116	228	312	212	254	220
peak_1189	chr1	206953895	206954331	.	437	314	490	568	426	618	430
peak_1190	chr1	206973915	206974442	.	528	308	360	352	454	488	372
peak_1191	chr1	207050515	207051827	.	1313	710	1290	1416	976	1208	812
peak_1192	chr1	207052906	207053818	.	913	674	1936	1848	1044	1500	964
peak_1193	chr1	207232605	207232986	.	382	152	240	228	316	332	196
peak_1194	chr1	207320938	207321747	.	810	682	1636	1536	1012	1366	820
peak_1195	chr1	207363340	207363527	.	188	62	102	130	164	236	146
peak_1196	chr1	207393706	207394063	.	358	318	478	280	450	704	344
peak_1197	chr1	208086325	208086770	.	446	124	252	222	314	354	312
peak_1198	chr1	208135632	208136108	.	477	248	390	480	338	420	340
peak_1199	chr1	208189077	208189479	.	403	236	412	402	422	578	418
peak_1200	chr1	208387783	208388661	.	879	272	440	468	580	620	434
peak_1201	chr1	209095748	209096613	.	866	420	658	588	654	844	638
peak_1202	chr1	209448038	209448483	.	446	266	368	362	476	562	382
peak_1203	chr1	209473829	209474340	.	512	158	184	184	290	422	250
peak_1204	chr1	209567652	209568104	.	453	162	228	162	284	310	204
peak_1205	chr1	209607051	209608089	.	1039	474	740	832	536	536	440
peak_1206	chr1	209655738	209656289	.	552	306	548	500	522	524	354
peak_1207	chr1	209809418	209809968	.	551	280	512	476	462	572	392
peak_1208	chr1	209861070	209861605	.	536	212	276	294	324	446	278
peak_1209	chr1	209863925	209864738	.	814	324	446	372	554	786	438
peak_1210	chr1	210052318	210052644	.	327	316	754	620	406	706	404
peak_1211	chr1	210342971	210343340	.	370	196	334	288	392	408	238
peak_1212	chr1	210625730	210626459	.	730	324	474	476	566	600	536
peak_1213	chr1	210656236	210656672	.	437	132	284	336	280	280	220
peak_1214	chr1	210664380	210664987	.	608	140	216	232	250	316	216
peak_1215	chr1	210672259	210672624	.	366	246	282	314	452	612	426
peak_1216	chr1	210689721	210690189	.	469	238	510	526	430	600	468
peak_1217	chr1	210709771	210710111	.	341	90	166	130	222	376	240
peak_1218	chr1	210777748	210778222	.	475	216	358	488	560	698	550
peak_1219	chr1	210905963	210906532	.	570	398	660	666	582	804	720
peak_1220	chr1	211492106	211492990	.	885	442	642	536	398	394	246
peak_1221	chr1	211535368	211536027	.	660	328	478	466	326	374	310
peak_1222	chr1	211735641	211736164	.	524	444	838	728	518	700	450
peak_1223	chr1	211910193	211910872	.	680	354	586	586	484	600	312
peak_1224	chr1	211934370	211935046	.	677	304	570	596	596	690	524
peak_1225	chr1	211951494	211952198	.	705	364	688	678	638	854	610
peak_1226	chr1	212237564	212237965	.	402	182	266	208	346	426	258
peak_1227	chr1	212482832	212483497	.	666	520	764	960	560	650	492
peak_1228	chr1	212558705	212559218	.	514	232	544	560	280	534	334
peak_1229	chr1	212629874	212631132	.	1259	682	1230	1238	648	816	582
peak_1230	chr1	213015106	213015981	.	876	502	1094	1078	560	706	446
peak_1231	chr1	213689289	213689619	.	331	156	234	278	364	348	272
peak_1232	chr1	214503606	214504593	.	988	382	510	546	648	830	584
peak_1233	chr1	216045433	216045774	.	342	152	202	172	248	374	232
peak_1234	chr1	216812995	216813355	.	361	218	244	258	518	554	344
peak_1235	chr1	219771069	219771421	.	353	110	194	200	248	354	190
peak_1236	chr1	220300447	220300717	.	271	180	202	234	226	244	184
peak_1237	chr1	220342949	220343419	.	471	156	212	228	276	334	268
peak_1238	chr1	220696816	220697292	.	477	292	588	662	466	742	488
peak_1239	chr1	221839870	221840249	.	380	216	482	404	472	608	424
peak_1240	chr1	221887010	221887574	.	565	356	566	630	600	656	430
peak_1241	chr1	221995007	221995259	.	253	44	140	164	202	234	194
peak_1242	chr1	223109624	223110033	.	410	158	262	286	382	440	300
peak_1243	chr1	223312809	223313468	.	660	168	222	206	300	338	260
peak_1244	chr1	223611801	223612331	.	531	194	320	282	292	310	256
peak_1245	chr1	223679793	223680376	.	584	214	324	430	456	402	298
peak_1246	chr1	223713958	223714594	.	637	350	654	568	516	528	422
peak_1247	chr1	224092720	224092981	.	262	78	96	78	154	172	140
peak_1248	chr1	224456768	224457233	.	466	208	404	432	292	328	274
peak_1249	chr1	224481017	224481353	.	337	150	152	150	254	320	202
peak_1250	chr1	224726902	224727851	.	950	382	700	596	540	808	430
peak_1251	chr1	224759672	224760055	.	384	130	186	244	234	316	292
peak_1252	chr1	224801897	224802368	.	472	140	212	248	306	378	208
peak_1253	chr1	224897530	224897855	.	326	80	120	126	198	306	226
peak_1254	chr1	225460641	225461413	.	773	298	560	518	320	426	268
peak_1255	chr1	225694916	225695237	.	322	134	206	190	212	278	232
peak_1256	chr1	225747574	225748130	.	557	384	450	564	394	542	332
peak_1257	chr1	225931400	225931774	.	375	132	302	322	240	240	202
peak_1258	chr1	225934577	225935180	.	604	346	358	348	432	438	302
peak_1259	chr1	225978486	225978937	.	452	188	258	274	300	366	220
peak_1260	chr1	226625341	226626218	.	878	402	754	792	630	704	588
peak_1261	chr1	226657008	226657182	.	175	72	96	126	112	144	124
peak_1262	chr1	226662746	226663339	.	594	582	1032	882	874	1146	766
peak_1263	chr1	226708430	226710127	.	1698	672	1008	942	690	810	510
peak_1264	chr1	226723123	226723514	.	392	244	316	340	370	366	274
peak_1265	chr1	226809805	226810918	.	1114	548	826	788	704	1040	696
peak_1266	chr1	226815066	226815433	.	368	348	650	646	392	758	466
peak_1267	chr1	227778410	227779963	.	1554	756	1236	1282	902	888	756
peak_1268	chr1	227798106	227798785	.	680	354	560	584	366	496	408
peak_1269	chr1	227869418	227870313	.	896	302	486	512	442	672	444
peak_1270	chr1	227894017	227895526	.	1510	624	1002	1116	1060	1178	838
peak_1271	chr1	227934698	227935532	.	835	836	1552	1646	1096	1532	1178
peak_1272	chr1	228047342	228048464	.	1123	562	850	840	712	744	524
peak_1273	chr1	228073839	228074809	.	971	644	1238	1142	722	910	674
peak_1274	chr1	228369057	228369553	.	497	290	548	496	378	428	292
peak_1275	chr1	228809880	228810716	.	837	448	818	928	800	1052	688
peak_1276	chr1	228924958	228925461	.	504	170	178	172	284	264	198
peak_1277	chr1	229006093	229006912	.	820	418	814	662	616	800	600
peak_1278	chr1	229217668	229218103	.	436	258	456	416	358	446	314
peak_1279	chr1	230104521	230105241	.	721	388	794	706	414	514	378
peak_1280	chr1	230328419	230329026	.	608	286	478	436	468	640	394
peak_1281	chr1	230337236	230337605	.	370	122	230	284	206	308	216
peak_1282	chr1	230365447	230366155	.	709	344	428	504	426	530	338
peak_1283	chr1	231134437	231134988	.	552	180	302	318	308	382	314
peak_1284	chr1	231200494	231200901	.	408	148	270	218	330	408	308
peak_1285	chr1	231512181	231512511	.	331	246	392	244	356	590	362
peak_1286	chr1	231724916	231725469	.	554	258	372	462	566	592	436
peak_1287	chr1	232284683	232285348	.	666	388	538	616	506	700	546
peak_1288	chr1	233972885	233973307	.	423	200	318	292	368	480	364
peak_1289	chr1	234118983	234119275	.	293	210	304	270	348	340	272
peak_1290	chr1	234501065	234501422	.	358	214	358	388	316	434	256
peak_1291	chr1	234628035	234628434	.	400	178	300	300	452	500	284
peak_1292	chr1	234657099	234657486	.	388	238	374	454	300	352	326
peak_1293	chr1	234866192	234866928	.	737	478	730	710	776	840	694
peak_1294	chr1	234897532	234898423	.	892	310	500	490	442	546	334
peak_1295	chr1	235067392	235067985	.	594	364	878	840	456	666	410
peak_1296	chr1	235568071	235568408	.	338	116	140	182	210	304	176
peak_1297	chr1	235588898	235589673	.	776	306	646	656	526	656	424
peak_1298	chr1	235595332	235595679	.	348	168	304	318	254	374	246
peak_1299	chr1	235606585	235606900	.	316	180	312	410	216	294	262
peak_1300	chr1	235917420	235917817	.	398	338	862	538	530	760	438
peak_1301	chr1	235943558	235944001	.	444	178	258	300	338	348	210
peak_1302	chr1	236097259	236097518	.	260	204	358	322	400	508	422
peak_1303	chr1	236124952	236125390	.	439	292	480	510	382	496	408
peak_1304	chr1	236148430	236149086	.	657	328	524	446	392	402	274
peak_1305	chr1	236426043	236426833	.	791	302	532	474	424	526	348
peak_1306	chr1	236795006	236795999	.	994	678	1354	1300	904	986	638
peak_1307	chr1	237012765	237013282	.	518	236	394	290	360	554	266
peak_1308	chr1	237888232	237888491	.	260	74	114	176	152	218	166
peak_1309	chr1	238054087	238054485	.	399	118	144	102	254	320	222
peak_1310	chr1	238958415	238958866	.	452	188	226	184	442	508	338
peak_1311	chr1	239814293	239814746	.	454	268	434	430	476	490	434
peak_1312	chr1	240644811	240645120	.	310	122	166	130	194	206	132
peak_1313	chr1	241413478	241413958	.	481	190	298	270	336	442	284
peak_1314	chr1	241615603	241615971	.	369	134	212	330	232	210	176
peak_1315	chr1	242224958	242225530	.	573	264	274	238	440	566	308
peak_1316	chr1	243883446	243883927	.	482	174	296	316	324	454	394
peak_1317	chr1	244191608	244191950	.	343	86	150	164	176	248	194
peak_1318	chr1	244296015	244296774	.	760	314	452	474	714	756	570
peak_1319	chr1	244302846	244303487	.	642	396	614	596	526	820	614
peak_1320	chr1	245091828	245092180	.	353	268	586	578	464	550	418
peak_1321	chr1	245603393	245603719	.	327	188	246	268	270	426	298
peak_1322	chr1	246428593	246428897	.	305	88	238	236	226	316	198
peak_1323	chr1	246524046	246524426	.	381	128	202	320	190	278	210
peak_1324	chr1	246608626	246609389	.	764	338	536	518	566	616	408
peak_1325	chr1	246632567	246632964	.	398	138	188	156	282	352	284
peak_1326	chr1	247332923	247333496	.	574	230	392	462	328	354	242
peak_1327	chr1	247433348	247433790	.	443	232	256	296	290	326	222
peak_1328	chr1	248843017	248843354	.	338	172	288	274	258	338	200
peak_1329	chr10	458408	458874	.	467	94	194	182	234	320	188
peak_1330	chr10	1638853	1639655	.	803	296	418	484	322	536	346
peak_1331	chr10	2111919	2112279	.	361	136	260	204	136	204	180
peak_1332	chr10	2949692	2950400	.	709	184	430	406	258	442	320
peak_1333	chr10	3010827	3011456	.	630	206	254	178	238	300	250
peak_1334	chr10	4316366	4316758	.	393	174	398	302	256	408	244
peak_1335	chr10	5317484	5318071	.	588	174	374	408	348	392	342
peak_1336	chr10	5684482	5685013	.	532	298	740	754	326	594	366
peak_1337	chr10	5840979	5841299	.	321	156	322	272	298	336	268
peak_1338	chr10	6046523	6047567	.	1045	360	598	510	444	658	382
peak_1339	chr10	6274900	6275788	.	889	386	912	888	658	908	636
peak_1340	chr10	6299291	6299511	.	221	176	334	310	368	404	282
peak_1341	chr10	7003795	7004277	.	483	116	214	198	298	376	228
peak_1342	chr10	7987005	7987413	.	409	68	162	150	174	314	210
peak_1343	chr10	8332102	8332667	.	566	326	560	486	418	564	426
peak_1344	chr10	11373529	11373899	.	371	122	258	308	206	330	264
peak_1345	chr10	11662623	11663041	.	419	112	266	312	270	288	184
peak_1346	chr10	12041823	12043495	.	1673	532	1164	1160	562	772	516
peak_1347	chr10	13882082	13882515	.	434	188	400	354	270	482	234
peak_1348	chr10	13893975	13894260	.	286	122	214	240	200	272	240
peak_1349	chr10	13984665	13986076	.	1412	704	1332	1208	828	1068	826
peak_1350	chr10	14381642	14382400	.	759	288	374	298	440	498	258
peak_1351	chr10	14449918	14450705	.	788	276	370	450	430	484	348
peak_1352	chr10	14698492	14698819	.	328	140	170	138	246	304	274
peak_1353	chr10	14977824	14979219	.	1396	314	296	238	564	670	388
peak_1354	chr10	15744073	15744500	.	428	138	246	202	288	322	276
peak_1355	chr10	15879629	15880012	.	384	228	412	446	444	560	448
peak_1356	chr10	15882110	15882620	.	511	292	260	308	460	498	362
peak_1357	chr10	16183987	16184477	.	491	134	280	276	274	332	250
peak_1358	chr10	16597848	16598237	.	390	308	538	518	410	464	340
peak_1359	chr10	16606508	16607298	.	791	384	512	570	894	990	814
peak_1360	chr10	17665825	17665985	.	161	102	140	80	186	190	132
peak_1361	chr10	17955979	17956624	.	646	226	322	280	384	468	338
peak_1362	chr10	19695714	19696206	.	493	164	270	356	376	546	366
peak_1363	chr10	20963551	20964766	.	1216	308	408	464	786	816	650
peak_1364	chr10	21315035	21315634	.	600	410	720	694	480	674	444
peak_1365	chr10	21402040	21402808	.	769	366	690	654	346	378	274
peak_1366	chr10	21547424	21547852	.	429	134	224	164	274	390	310
peak_1367	chr10	22682584	22682974	.	391	330	392	424	318	450	274
peak_1368	chr10	22805370	22805731	.	362	190	296	248	390	488	242
peak_1369	chr10	22816327	22817284	.	958	580	1290	1046	1036	1516	1000
peak_1370	chr10	22966642	22967072	.	431	120	148	110	186	266	166
peak_1371	chr10	23001138	23001612	.	475	202	238	226	364	550	310
peak_1372	chr10	23051848	23052172	.	325	88	164	142	224	216	210
peak_1373	chr10	23417331	23417599	.	269	96	90	122	186	230	178
peak_1374	chr10	23455006	23455358	.	353	224	228	312	242	362	276
peak_1375	chr10	23917944	23918711	.	768	424	594	594	572	698	464
peak_1376	chr10	23918775	23919218	.	444	324	442	534	398	564	464
peak_1377	chr10	23980112	23980547	.	436	196	366	412	388	492	436
peak_1378	chr10	24470187	24470628	.	442	288	196	296	356	508	302
peak_1379	chr10	24532303	24532826	.	524	88	164	172	310	318	218
peak_1380	chr10	24822075	24822286	.	212	102	148	158	150	292	160
peak_1381	chr10	24921383	24921711	.	329	118	304	268	336	414	238
peak_1382	chr10	25068146	25068560	.	415	292	428	430	506	648	440
peak_1383	chr10	25877792	25878401	.	610	210	210	280	378	406	324
peak_1384	chr10	26247224	26247679	.	456	314	570	594	668	980	662
peak_1385	chr10	26781048	26781447	.	400	172	256	306	344	366	262
peak_1386	chr10	26919614	26919941	.	328	120	272	204	210	264	192
peak_1387	chr10	26932086	26932448	.	363	106	200	202	202	360	206
peak_1388	chr10	27506306	27506827	.	522	202	280	310	244	340	226
peak_1389	chr10	27654475	27654967	.	493	122	124	142	224	372	254
peak_1390	chr10	28180642	28180972	.	331	182	310	322	316	326	260
peak_1391	chr10	28754982	28755331	.	350	150	184	190	344	438	272
peak_1392	chr10	29229299	29229667	.	369	230	440	522	398	536	414
peak_1393	chr10	29649600	29650009	.	410	172	196	232	390	380	258
peak_1394	chr10	29659008	29659437	.	430	486	1494	948	638	876	540
peak_1395	chr10	29757663	29758224	.	562	374	716	666	520	750	468
peak_1396	chr10	29765542	29766247	.	706	320	326	424	394	386	276
peak_1397	chr10	29946890	29947944	.	1055	810	1294	1332	978	1266	1034
peak_1398	chr10	30001357	30001732	.	376	140	204	192	234	298	148
peak_1399	chr10	30384607	30385180	.	574	224	314	260	340	374	258
peak_1400	chr10	30640374	30640739	.	366	106	148	160	224	272	160
peak_1401	chr10	30641744	30642176	.	433	102	210	146	246	410	208
peak_1402	chr10	30695907	30696670	.	764	278	490	582	298	330	228
peak_1403	chr10	30980714	30981298	.	585	228	326	312	534	496	370
peak_1404	chr10	31031570	31032505	.	936	542	1810	1654	760	1142	842
peak_1405	chr10	31242671	31243273	.	603	566	968	878	866	1216	806
peak_1406	chr10	31745655	31746370	.	716	396	814	686	672	940	612
peak_1407	chr10	31927715	31928816	.	1102	426	884	978	498	696	424
peak_1408	chr10	32061308	32061761	.	454	146	212	282	478	400	340
peak_1409	chr10	32167195	32167796	.	602	294	694	680	558	738	536
peak_1410	chr10	32213796	32214363	.	568	370	538	528	556	742	496
peak_1411	chr10	32983312	32983854	.	543	322	596	608	524	722	540
peak_1412	chr10	33398670	33399126	.	457	274	412	498	524	504	570
peak_1413	chr10	33581879	33582920	.	1042	334	490	624	700	870	610
peak_1414	chr10	33886417	33886821	.	405	210	284	338	416	538	356
peak_1415	chr10	33892494	33892817	.	324	142	130	110	262	288	192
peak_1416	chr10	33897369	33897640	.	272	184	244	296	260	302	196
peak_1417	chr10	34286353	34286828	.	476	298	556	684	614	670	440
peak_1418	chr10	34887869	34888264	.	396	198	366	364	350	532	306
peak_1419	chr10	35215127	35215663	.	537	216	368	356	534	538	336
peak_1420	chr10	35414345	35414782	.	438	270	436	458	436	554	372
peak_1421	chr10	35549156	35549765	.	610	342	584	586	764	896	700
peak_1422	chr10	35564356	35564981	.	626	508	946	1038	806	954	696
peak_1423	chr10	35610872	35611252	.	381	196	240	212	320	338	232
peak_1424	chr10	35649459	35650138	.	680	252	330	428	562	724	456
peak_1425	chr10	35795225	35795645	.	421	234	380	438	398	562	310
peak_1426	chr10	36534585	36535033	.	449	206	370	466	298	344	280
peak_1427	chr10	36539017	36539349	.	333	114	298	404	246	314	296
peak_1428	chr10	37711690	37713516	.	1827	888	1358	1312	642	606	406
peak_1429	chr10	37747809	37748361	.	553	222	446	494	494	698	504
peak_1430	chr10	42188137	42188494	.	358	226	414	340	284	480	330
peak_1431	chr10	42637927	42638990	.	1064	986	2328	2206	1212	1324	1048
peak_1432	chr10	42690396	42691193	.	798	840	1854	1888	1152	1450	974
peak_1433	chr10	42720346	42720942	.	597	318	460	448	366	444	294
peak_1434	chr10	42755858	42756783	.	926	958	1486	1590	1108	1332	902
peak_1435	chr10	42757398	42758915	.	1518	1124	1996	2218	1032	1212	858
peak_1436	chr10	42864488	42865110	.	623	506	908	962	526	766	604
peak_1437	chr10	42869184	42869637	.	454	604	836	744	724	908	546
peak_1438	chr10	42872926	42873590	.	665	634	1486	1444	962	1260	888
peak_1439	chr10	42876567	42880224	.	3658	2662	4464	4872	2644	2954	2248
peak_1440	chr10	42887787	42889021	.	1235	824	1374	1360	782	904	734
peak_1441	chr10	42960523	42963086	.	2564	1724	3332	3694	1522	1864	1354
peak_1442	chr10	42973951	42977389	.	3439	2830	4928	4918	2364	2476	1742
peak_1443	chr10	42979894	42982374	.	2481	2206	3822	3962	2074	2608	1856
peak_1444	chr10	42982471	42984380	.	1910	1440	2552	2536	1480	1560	1222
peak_1445	chr10	42986656	42987855	.	1200	1178	1632	1928	1234	1272	1014
peak_1446	chr10	42997249	43002358	.	5110	3980	6276	6376	2916	2956	2110
peak_1447	chr10	43038100	43039532	.	1433	1068	1692	1744	580	660	464
peak_1448	chr10	43039640	43047193	.	7554	5198	9508	9866	4364	4978	3316
peak_1449	chr10	43048602	43049768	.	1167	1458	2630	3018	1506	1914	1302
peak_1450	chr10	43059934	43060828	.	895	572	1198	1232	584	756	550
peak_1451	chr10	43081334	43083750	.	2417	2446	3926	4212	1736	1580	1276
peak_1452	chr10	43084365	43087936	.	3572	2336	3654	3872	1786	1896	1392
peak_1453	chr10	43088943	43090658	.	1716	1934	3778	4046	1966	2312	1782
peak_1454	chr10	43094619	43096586	.	1968	2170	3580	3256	2264	2532	1504
peak_1455	chr10	43099601	43100306	.	706	588	1150	1114	938	1064	614
peak_1456	chr10	43106486	43107544	.	1059	1328	2240	2216	1316	1398	1094
peak_1457	chr10	43111717	43116553	.	4837	3422	6192	6722	2596	2862	2156
peak_1458	chr10	43117175	43120075	.	2901	1988	3564	3354	1934	2440	1808
peak_1459	chr10	43120992	43121899	.	908	766	1038	998	650	864	634
peak_1460	chr10	43122073	43123303	.	1231	786	1562	1588	1096	1294	946
peak_1461	chr10	43192792	43194492	.	1701	1108	1930	1974	1498	1606	1216
peak_1462	chr10	43196237	43202125	.	5889	4066	7380	7738	4024	4150	2946
peak_1463	chr10	43202267	43207349	.	5083	4912	10688	11498	5098	6770	4780
peak_1464	chr10	43215743	43221238	.	5496	4180	7492	7566	3142	3354	2368
peak_1465	chr10	43221776	43222809	.	1034	784	1202	1124	1038	958	690
peak_1466	chr10	43226753	43232424	.	5672	4638	8954	9204	3866	4262	3206
peak_1467	chr10	43250766	43260782	.	10017	8228	15694	16060	6786	7126	5342
peak_1468	chr10	43318060	43318674	.	615	536	830	842	674	834	562
peak_1469	chr10	43318784	43319946	.	1163	1036	1918	1896	1038	1416	906
peak_1470	chr10	43324998	43326265	.	1268	1256	1636	1888	1826	2192	1584
peak_1471	chr10	43338267	43338904	.	638	620	1186	1302	540	588	454
peak_1472	chr10	43340429	43341437	.	1009	902	1550	1546	926	1200	884
peak_1473	chr10	43344002	43345283	.	1282	1120	2016	1876	988	1190	894
peak_1474	chr10	43374031	43378843	.	4813	3118	5564	5384	1998	1958	1458
peak_1475	chr10	43407190	43410219	.	3030	2294	6042	5682	2846	3430	2564
peak_1476	chr10	43436295	43437572	.	1278	1120	2412	2588	1164	1406	1036
peak_1477	chr10	43461028	43461567	.	540	366	478	500	390	454	328
peak_1478	chr10	43512037	43512753	.	717	262	400	492	674	760	506
peak_1479	chr10	43685741	43686099	.	359	290	400	396	434	566	390
peak_1480	chr10	43695929	43697759	.	1831	1664	1970	2022	1956	2332	1340
peak_1481	chr10	43892196	43892693	.	498	540	816	844	666	872	638
peak_1482	chr10	43899220	43899823	.	604	640	1064	1184	774	798	684
peak_1483	chr10	43940063	43940547	.	485	410	520	424	466	598	378
peak_1484	chr10	43958060	43960092	.	2033	1438	2144	2178	1456	1540	1136
peak_1485	chr10	44008324	44008569	.	246	304	580	516	460	628	466
peak_1486	chr10	44051258	44051992	.	735	738	1260	1146	1190	1484	956
peak_1487	chr10	44064156	44064833	.	678	598	1090	1058	728	972	732
peak_1488	chr10	44065292	44065918	.	627	646	922	892	672	884	632
peak_1489	chr10	44195878	44196659	.	782	732	1386	1352	1060	1604	1084
peak_1490	chr10	44203695	44204291	.	597	702	988	784	1078	1460	964
peak_1491	chr10	44240691	44241253	.	563	382	778	816	756	934	626
peak_1492	chr10	44253565	44254340	.	776	370	552	548	696	852	606
peak_1493	chr10	44257385	44257819	.	435	578	662	746	716	786	600
peak_1494	chr10	44258481	44259162	.	682	416	512	538	754	766	454
peak_1495	chr10	44259314	44259933	.	620	516	1036	1126	744	896	652
peak_1496	chr10	44260396	44262384	.	1989	1268	2388	2628	990	974	718
peak_1497	chr10	44312226	44312735	.	510	426	646	740	664	768	590
peak_1498	chr10	44358281	44358695	.	415	284	722	650	442	470	426
peak_1499	chr10	44376483	44376870	.	388	474	454	378	800	846	494
peak_1500	chr10	44507301	44509361	.	2061	1444	2190	2280	1180	1284	916
peak_1501	chr10	44824513	44824969	.	457	224	312	458	312	400	284
peak_1502	chr10	44864233	44865705	.	1473	1110	1968	2020	1304	1784	1242
peak_1503	chr10	44880999	44881764	.	766	644	1142	1100	714	948	626
peak_1504	chr10	44882327	44882677	.	351	232	462	440	364	466	400
peak_1505	chr10	44911044	44912973	.	1930	1006	1726	1664	812	810	606
peak_1506	chr10	44930915	44934176	.	3262	1818	2836	2868	1378	1396	1020
peak_1507	chr10	44978568	44980889	.	2322	1492	2074	2268	1238	1238	822
peak_1508	chr10	44981587	44982907	.	1321	1026	2114	1954	1048	1388	966
peak_1509	chr10	44984498	44985298	.	801	496	744	712	536	506	398
peak_1510	chr10	44998192	44998714	.	523	316	558	624	478	812	532
peak_1511	chr10	45155815	45156760	.	946	366	672	850	586	680	486
peak_1512	chr10	45160112	45160824	.	713	272	436	352	660	1002	540
peak_1513	chr10	45249969	45251056	.	1088	480	904	936	674	778	462
peak_1514	chr10	45283801	45284282	.	482	276	284	282	472	620	392
peak_1515	chr10	45303752	45304512	.	761	394	538	546	506	532	336
peak_1516	chr10	45421192	45423247	.	2056	1426	2192	2210	1570	1700	1198
peak_1517	chr10	45425130	45426518	.	1389	724	1362	1300	948	1160	796
peak_1518	chr10	45446957	45447566	.	610	386	534	532	422	518	394
peak_1519	chr10	45452871	45453366	.	496	360	476	508	424	560	334
peak_1520	chr10	45453816	45454564	.	749	344	900	950	562	632	458
peak_1521	chr10	45672168	45673203	.	1036	684	1862	1926	962	1458	928
peak_1522	chr10	45812330	45812906	.	577	362	558	564	448	560	362
peak_1523	chr10	46091320	46092599	.	1280	684	1320	1500	852	1044	796
peak_1524	chr10	46198576	46198795	.	220	112	146	164	190	188	152
peak_1525	chr10	46215304	46218823	.	3520	1936	3576	3658	1984	2128	1610
peak_1526	chr10	46220924	46221856	.	933	686	1380	1432	866	1226	816
peak_1527	chr10	46227956	46229238	.	1283	1212	2490	2516	1394	1946	1390
peak_1528	chr10	46250500	46252564	.	2065	986	1628	1738	546	722	540
peak_1529	chr10	46263636	46265269	.	1634	836	1340	1544	712	826	658
peak_1530	chr10	46265913	46267183	.	1271	698	1678	1734	1082	1326	1000
